part_oem_number,part_manufacturer,cross_ref_oem_number,cross_ref_manufacturer,cross_ref_type,notes
0986494524,Bosch,BP0010564,Textar,compatible,Cross-reference for brake pads
0986494524,Bosch,OE0050001,Bosch,oem,Original equipment reference
0986494525,Bosch,BP0003518,Brembo,compatible,Cross-reference for brake pads
0986494525,Bosch,OE0050002,Original,oem,Original equipment reference
P06074,Brembo,BPR0007708,Mintex,equivalent,Cross-reference for brake pads
P06074,Brembo,OE0050003,Brembo,oem,Original equipment reference
P06075,Brembo,BP0004936,ATE,oem,Cross-reference for brake pads
P06075,Brembo,OE0050004,Brembo,oem,Original equipment reference
GDB2064,TRW,BPR0003434,Textar,oem,Cross-reference for brake pads
GDB2064,TRW,OE0050005,Original,oem,Original equipment reference
FDB4045,Ferodo,BP0007427,EBC Brakes,oem,Cross-reference for brake pads
FDB4045,Ferodo,OE0050006,Original,oem,Original equipment reference
2500601,Textar,BP0001007,TRW,compatible,Cross-reference for brake pads
2500601,Textar,OE0050007,Textar,oem,Original equipment reference
2500601,Textar,BPR0007457,Mintex,compatible,Cross-reference for brake pads
2500601,Textar,OE0050008,Original,oem,Original equipment reference
2500601,Textar,BP0003703,Bosch,equivalent,Cross-reference for brake pads
2500601,Textar,OE0050009,Textar,oem,Original equipment reference
MBP1003,Mintex,BP0009966,Brembo,oem,Cross-reference for brake pads
MBP1003,Mintex,OE0050010,Original,oem,Original equipment reference
BOS-DP1998,Pagid,BPR0007031,Ferodo,oem,Cross-reference for brake pads
BOS-DP1998,Pagid,OE0050011,Pagid,oem,Original equipment reference
DP2201/2,EBC Brakes,BP0001014,Ferodo,oem,Cross-reference for brake pads
DP2201/2,EBC Brakes,OE0050012,EBC Brakes,oem,Original equipment reference
Bendix-DB2292,Bendix,BP0006965,Pagid,replacement,Cross-reference for brake pads
Bendix-DB2292,Bendix,OE0050013,Bendix,oem,Original equipment reference
Bendix-DB2292,Bendix,BPR0010637,TRW,replacement,Cross-reference for brake pads
Bendix-DB2292,Bendix,OE0050014,Bendix,oem,Original equipment reference
Bendix-DB2292,Bendix,BPR0006796,Pagid,oem,Cross-reference for brake pads
Bendix-DB2292,Bendix,OE0050015,Bendix,oem,Original equipment reference
BP0001001,Bosch,BPR0007657,Pagid,equivalent,Cross-reference for brake pads
BP0001001,Bosch,OE0050016,Bosch,oem,Original equipment reference
BP0001001,Bosch,BP0010402,Brembo,equivalent,Cross-reference for brake pads
BP0001001,Bosch,OE0050017,Original,oem,Original equipment reference
BP0001003,Bosch,BPR0003622,Ferodo,oem,Cross-reference for brake pads
BP0001003,Bosch,OE0050018,Bosch,oem,Original equipment reference
BP0001004,Bosch,BPR0005510,Pagid,equivalent,Cross-reference for brake pads
BP0001004,Bosch,OE0050019,Bosch,oem,Original equipment reference
BP0001004,Bosch,BP0004745,Mintex,oem,Cross-reference for brake pads
BP0001004,Bosch,OE0050020,Original,oem,Original equipment reference
BP0001005,Brembo,BPR0007667,ATE,oem,Cross-reference for brake pads
BP0001005,Brembo,OE0050021,Original,oem,Original equipment reference
BP0001005,Brembo,BP0006933,Pagid,oem,Cross-reference for brake pads
BP0001005,Brembo,OE0050022,Brembo,oem,Original equipment reference
BP0001006,Brembo,BP0010789,Bosch,oem,Cross-reference for brake pads
BP0001006,Brembo,OE0050023,Brembo,oem,Original equipment reference
BP0001006,Brembo,BP0008987,ATE,equivalent,Cross-reference for brake pads
BP0001006,Brembo,OE0050024,Original,oem,Original equipment reference
BP0001008,TRW,BP0009357,Textar,equivalent,Cross-reference for brake pads
BP0001008,TRW,OE0050025,TRW,oem,Original equipment reference
BP0001009,TRW,BPR0008140,ATE,compatible,Cross-reference for brake pads
BP0001009,TRW,OE0050026,TRW,oem,Original equipment reference
BP0001009,TRW,BP0004196,Mintex,replacement,Cross-reference for brake pads
BP0001009,TRW,OE0050027,TRW,oem,Original equipment reference
BP0001010,ATE,BPR0006453,Textar,compatible,Cross-reference for brake pads
BP0001010,ATE,OE0050028,ATE,oem,Original equipment reference
BP0001010,ATE,BP0007300,Pagid,oem,Cross-reference for brake pads
BP0001010,ATE,OE0050029,Original,oem,Original equipment reference
BP0001010,ATE,BPR0003232,Textar,replacement,Cross-reference for brake pads
BP0001010,ATE,OE0050030,Original,oem,Original equipment reference
BP0001011,ATE,BPR0004626,TRW,equivalent,Cross-reference for brake pads
BP0001011,ATE,OE0050031,ATE,oem,Original equipment reference
BP0001011,ATE,BP0001014,Ferodo,equivalent,Cross-reference for brake pads
BP0001011,ATE,OE0050032,ATE,oem,Original equipment reference
BP0001011,ATE,BPR0005822,Bosch,replacement,Cross-reference for brake pads
BP0001011,ATE,OE0050033,ATE,oem,Original equipment reference
BP0001012,ATE,BP0010304,Ferodo,compatible,Cross-reference for brake pads
BP0001012,ATE,OE0050034,ATE,oem,Original equipment reference
BP0001014,Ferodo,BP0001017,Textar,compatible,Cross-reference for brake pads
BP0001014,Ferodo,OE0050035,Ferodo,oem,Original equipment reference
BP0001015,Ferodo,BP0004196,Mintex,oem,Cross-reference for brake pads
BP0001015,Ferodo,OE0050036,Original,oem,Original equipment reference
BP0001016,Textar,BPR0007524,TRW,compatible,Cross-reference for brake pads
BP0001016,Textar,OE0050037,Textar,oem,Original equipment reference
BP0001017,Textar,BPR0002845,Brembo,equivalent,Cross-reference for brake pads
BP0001017,Textar,OE0050038,Textar,oem,Original equipment reference
BP0001017,Textar,BP0007909,TRW,equivalent,Cross-reference for brake pads
BP0001017,Textar,OE0050039,Original,oem,Original equipment reference
BP0001018,Textar,FDB4396,Ferodo,equivalent,Cross-reference for brake pads
BP0001018,Textar,OE0050040,Textar,oem,Original equipment reference
BP0001018,Textar,BPR0010177,Bosch,replacement,Cross-reference for brake pads
BP0001018,Textar,OE0050041,Textar,oem,Original equipment reference
BP0001019,Textar,BPR0001037,Brembo,equivalent,Cross-reference for brake pads
BP0001019,Textar,OE0050042,Textar,oem,Original equipment reference
BP0001019,Textar,BP0003703,Bosch,compatible,Cross-reference for brake pads
BP0001019,Textar,OE0050043,Textar,oem,Original equipment reference
BP0001020,Mintex,BP0003518,Brembo,equivalent,Cross-reference for brake pads
BP0001020,Mintex,OE0050044,Original,oem,Original equipment reference
BP0001022,Mintex,BPR0003677,TRW,equivalent,Cross-reference for brake pads
BP0001022,Mintex,OE0050045,Mintex,oem,Original equipment reference
BP0001026,Pagid,BPR0008067,ATE,replacement,Cross-reference for brake pads
BP0001026,Pagid,OE0050046,Pagid,oem,Original equipment reference
BP0001027,EBC Brakes,BPR0004683,ATE,oem,Cross-reference for brake pads
BP0001027,EBC Brakes,OE0050047,EBC Brakes,oem,Original equipment reference
BP0001027,EBC Brakes,BPR0009197,Pagid,equivalent,Cross-reference for brake pads
BP0001027,EBC Brakes,OE0050048,EBC Brakes,oem,Original equipment reference
BP0001027,EBC Brakes,BP0008929,Brembo,oem,Cross-reference for brake pads
BP0001027,EBC Brakes,OE0050049,Original,oem,Original equipment reference
BP0001028,EBC Brakes,BP0008987,ATE,equivalent,Cross-reference for brake pads
BP0001028,EBC Brakes,OE0050050,Original,oem,Original equipment reference
BP0001028,EBC Brakes,BPR0007667,ATE,equivalent,Cross-reference for brake pads
BP0001028,EBC Brakes,OE0050051,Original,oem,Original equipment reference
